Title,Company,Link
바이오인식 / OCR 알고리즘 개발,엑스페릭스,https://www.wanted.co.kr/wd/227802
고객관리(CS) 담당자,파마브로스,https://www.wanted.co.kr/wd/227474
재고 관리 매니저,와이즐리컴퍼니,https://www.wanted.co.kr/wd/227343
주문발주 및 고객상담 매니저,디깅미,https://www.wanted.co.kr/wd/227153
콘텐츠 마케터 팀리드 (광고사업부),매드업,https://www.wanted.co.kr/wd/227374
콘텐츠 마케터 - 3년 이상 (광고사업부),매드업,https://www.wanted.co.kr/wd/227369
종합광고 대행사 아트디렉터 (5~7년),레오버넷,https://www.wanted.co.kr/wd/209091
[빗썸] 고객마케팅 담당자 (팀장),빗썸코리아,https://www.wanted.co.kr/wd/227704
광고기획(AE),위에이알,https://www.wanted.co.kr/wd/218583
글로벌 미디어 플래너(OOH/옥외광고),오브라운,https://www.wanted.co.kr/wd/227163
Frontend Developer,버티고우게임즈 (Vertigo Games),https://www.wanted.co.kr/wd/227753
퍼포먼스 마케터(AE) - 3년 이상 (광고사업부),매드업,https://www.wanted.co.kr/wd/222553
[100억↑투자] HR Manager / 피플팀장,이마고웍스,https://www.wanted.co.kr/wd/228350
고객 경험 매니저(CX),윙잇,https://www.wanted.co.kr/wd/227647
로봇 재고 관리 담당자,뉴빌리티,https://www.wanted.co.kr/wd/224950
CS고객센터 사원,에이치소사이어티(스카이피플),https://www.wanted.co.kr/wd/227227
"백엔드 개발자(Python, Django)",테일크루(Talecrew),https://www.wanted.co.kr/wd/226058
B2B 세일즈 및 고객(리드) 발굴,누벤트,https://www.wanted.co.kr/wd/221369
딥러닝 알고리즘 엔지니어,블루닷,https://www.wanted.co.kr/wd/56969
Business Developer (BD),알고케어,https://www.wanted.co.kr/wd/222423
딥러닝 알고리즘 엔지니어(신입),블루닷,https://www.wanted.co.kr/wd/179551
Account Manager (영업),고위드,https://www.wanted.co.kr/wd/203305
CX고객경험 개선 기획자 (2년 이상),더블유클럽,https://www.wanted.co.kr/wd/219808
B2B 고객관리 담당자,피아스페이스,https://www.wanted.co.kr/wd/225617
